Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
494	0	-45.84761	0	-45.84761	0.007522523
495	1	371.5074	0	371.5074	0.0001100567
496	0	-45.41838	0	-45.41838	0.006660157
497	1	371.507	0	371.507	0.0001103776
498	0	-45.76888	0	-45.76888	0.007456525
499	1	371.4704	0	371.4704	0.0001071269
500	0	-45.41867	0	-45.41867	0.006659401
501	1	371.2443	0	371.2443	0.0001183947
502	0	-46.05959	0	-46.05959	0.007679285
503	1	369.6078	0	369.6078	9.120304e-05
504	0	-45.60862	0	-45.60862	0.006394183
505	1	369.7359	0	369.7359	0.0001335258
506	0	-45.42281	0	-45.42281	0.0066489
507	1	371.157	0	371.157	0.0001197539
508	0	-45.38967	0	-45.38967	0.006874604
509	1	371.157	0	371.157	0.0001197539
510	0	-45.39391	0	-45.39391	0.006749052
511	1	370.9714	0	370.9714	0.0001222159
512	0	-45.48806	0	-45.48806	0.006530771
513	1	370.9993	0	370.9993	0.0001218732
514	0	-45.38963	0	-45.38963	0.006874227
515	1	371.5068	0	371.5068	0.0001104533
516	0	-45.39412	0	-45.39412	0.006747825
517	1	371.1145	0	371.1145	0.0001203603
518	0	-46.53396	0	-46.53396	0.00589367
519	1	371.4505	0	371.4505	0.0001138322
520	0	-45.74713	0	-45.74713	0.006281624
521	1	369.4961	0	369.4961	9.072343e-05
522	0	-45.3922	0	-45.3922	0.006895121
523	1	370.2243	0	370.2243	0.0001296339
524	0	-46.04812	0	-46.04812	0.007671399
525	1	370.7681	0	370.7681	0.0001245179
526	0	-45.76087	0	-45.76087	0.006271883
527	1	371.4284	0	371.4284	0.0001058118
528	0	-45.5893	0	-45.5893	0.007277651
529	1	371.3427	0	371.3427	0.0001165858
530	0	-45.39213	0	-45.39213	0.006760124
531	1	370.9301	0	370.9301	9.907874e-05
532	0	-47.48867	0	-47.48867	0.008432113
533	1	369.2718	0	369.2718	0.0001368669
534	0	-46.23191	0	-46.23191	0.007791684
535	1	371.4922	0	371.4922	0.0001081631
536	0	-45.97422	0	-45.97422	0.007619136
537	1	371.3895	0	371.3895	0.0001155475
538	0	-45.43461	0	-45.43461	0.007040393
539	1	371.4885	0	371.4885	0.0001122131
540	0	-46.14229	0	-46.14229	0.007734559
541	1	371.3649	0	371.3649	0.0001044072
542	0	-46.65493	0	-46.65493	0.005850423
543	1	371.4543	0	371.4543	0.0001137011
544	0	-45.40729	0	-45.40729	0.006692681
545	1	371.3246	0	371.3246	0.0001036879
546	0	-45.65	0	-45.65	0.00734405
547	1	371.2819	0	371.2819	0.0001177466
548	0	-45.38737	0	-45.38737	0.006838335
549	1	371.5061	0	371.5061	0.0001094933
550	0	-45.80894	0	-45.80894	0.007490784
551	1	371.4596	0	371.4596	0.0001067364
552	0	-45.56775	0	-45.56775	0.006434535
553	1	371.2266	0	371.2266	0.0001186845
554	0	-46.43356	0	-46.43356	0.005931678
555	1	371.4639	0	371.4639	0.0001068853
556	0	-45.57441	0	-45.57441	0.00726002
557	1	371.4639	0	371.4639	0.0001068853
558	0	-45.4093	0	-45.4093	0.006971671
559	1	371.3844	0	371.3844	0.0001047964
560	0	-45.79431	0	-45.79431	0.007478442
561	1	370.877	0	370.877	0.0001233238
562	0	-45.44858	0	-45.44858	0.00707053
563	1	371.4845	0	371.4845	0.0001077426
564	0	-46.70343	0	-46.70343	0.005833784
565	1	371.0249	0	371.0249	0.0001215509
566	0	-45.51042	0	-45.51042	0.00717554
567	1	371.423	0	371.423	0.0001056741
568	0	-45.42501	0	-45.42501	0.007017125
569	1	370.7755	0	370.7755	9.780137e-05
570	0	-45.40755	0	-45.40755	0.006965758
571	1	370.8858	0	370.8858	9.869492e-05
572	0	-46.13931	0	-46.13931	0.00773261
573	1	371.4944	0	371.4944	0.0001118392
574	0	-45.46373	0	-45.46373	0.006567993
575	1	369.6458	0	369.6458	9.136992e-05
576	0	-45.50834	0	-45.50834	0.00650325
577	1	371.5064	0	371.5064	0.000109568
578	0	-47.82614	0	-47.82614	0.008576212
579	1	371.5074	0	371.5074	0.0001101122
580	0	-45.4016	0	-45.4016	0.006943429
581	1	371.2075	0	371.2075	0.00010199
582	0	-45.49973	0	-45.49973	0.006514608
583	1	371.487	0	371.487	0.0001078686
584	0	-45.41673	0	-45.41673	0.006994651
585	1	371.0835	0	371.0835	0.0001207843
